Date,Day_of_the_week,App ,Minutes,Category
8/24/2023,Thursday,KINDLE,117,Entertainment
8/24/2023,Thursday,INSTAGRAM,113,Social Media
8/24/2023,Thursday,CANVAS,15,Education
8/24/2023,Thursday,GMAIL,7,Education
8/24/2023,Thursday,TIKTOK,7,Social Media
8/24/2023,Thursday,WHATSAPP,4,Social Media
8/24/2023,Thursday,APPLEMUSIC,4,Entertainment
8/25/2023,Friday,KINDLE,310,Entertainment
8/25/2023,Friday,INSTAGRAM,131,Social Media
8/25/2023,Friday,APPLEMUSIC,63,Entertainment
8/25/2023,Friday,TIKTOK,8,Social Media
8/25/2023,Friday,CANVAS,7,Education
8/25/2023,Friday,NOTES,3,Other
8/26/2023,Saturday,KINDLE,398,Entertainment
8/26/2023,Saturday,INSTAGRAM,69,Social Media
8/26/2023,Saturday,APPLEMUSIC,8,Entertainment
8/26/2023,Saturday,BEREAL,7,Social Media
8/27/2023,Sunday,KINDLE,303,Entertainment
8/27/2023,Sunday,INSTAGRAM,44,Social Media
8/27/2023,Sunday,NETFLIX,25,Entertainment
8/27/2023,Sunday,TIKTOK,6,Social Media
8/27/2023,Sunday,CANVAS,4,Education
8/27/2023,Sunday,APPLEMUSIC,3,Entertainment
8/27/2023,Sunday,YOUTUBE,1,Entertainment
8/28/2023,Monday,KINDLE,339,Entertainment
8/28/2023,Monday,INSTAGRAM,68,Entertainment
8/28/2023,Monday,WHATSAPP,48,Social Media
8/28/2023,Monday,CANVAS,13,Education
8/28/2023,Monday,TIKTOK,7,Social Media
8/28/2023,Monday,MESSAGES,5,Social Media
8/28/2023,Monday,GOOGLE,4,Other
8/28/2023,Monday,GMAIL,2,Education
8/28/2023,Monday,APPLEMUSIC,2,Entertainment
8/29/2023,Tuesday,KINDLE,363,Entertainment
8/29/2023,Tuesday,INSTAGRAM,132,Social Media
8/29/2023,Tuesday,MESSAGES,23,Social Media
8/29/2023,Tuesday,CANVAS,18,Education
8/29/2023,Tuesday,PHOTOS,5,Other
8/29/2023,Tuesday,APPLEMUSIC,3,Entertainment
8/29/2023,Tuesday,TIKTOK,3,Social Media
8/30/2023,Wednesday,KINDLE,262,Entertainment
8/30/2023,Wednesday,INSTAGRAM,137,Social Media
8/30/2023,Wednesday,TIKTOK,23,Social Media
8/30/2023,Wednesday,CANVAS,19,Education
8/30/2023,Wednesday,SETTINGS,16,Other
8/30/2023,Wednesday,MESSAGES,14,Social Media
8/30/2023,Wednesday,GMAIL,13,Education
8/30/2023,Wednesday,APPLEMUSIC,5,Entertainment